"Timestamp","1. Gender 性別","2. Age 年齡","3. Are you a local or non-local student? 您是本地生還是非本地生？","4. Nationality 國籍","5. University 大學","6. Are you an undergraduate or postgraduate student? 您是本科生還是研究生？","7. Year of Study 修學年","1. How often do you have a drink containing alcohol? 您飲用含有酒精飲料的頻率為？","2. When drinking, how many ""standard drinks"" containing alcohol do you typically consume (in one occasion)? 您一次通常飲用多少杯含酒精的「標準杯」？","3. How often do you have six or more ""standard drinks"" on one occasion? (Use previous question as reference for servings) 您一次飲用「標準杯」六杯以上的頻率為？（請以上一題的說明作為參考）","4. What kind of alcoholic beverage do you typically consume? 您通常飲用何種酒精飲料？","5. On what occasion do you usually consume alcohol beverage? 您通常在什麼場合飲用酒精飲料？","6. Based on the text below, what is your favorite cuisine? (Please read the description) 根據下列選項，您最喜歡的食物是？（請閱讀說明）","7. On average, how often do you drink alcoholic beverages before examinations or other important academic events? 平均來說，您在考試或重要學術活動之前飲用酒精飲料的頻率為？","1. Cumulative GPA (out of 4.00) 累計成績平均積點","2. Have you joined any student clubs / organisations / student union throughout your university years? 您在大學期間有無參加任何學生社團、組織或學生會？","3. Have you served as an Executive Committee for a student club / organisation / student union throughout your university years? 您在大學期間有無擔任過學生社團、組織或學生會的執行委員？","4. If any, how many academic achievements have you attained throughout your university years? 您在大學期間總共取得過多少個學術成就？","5. If any, how many professional examinations have you passed throughout your university years? 您在大學期間通過多少個專業考試？",""
"2021/08/11 12:19:30 PM GMT+8","Female 女性","21","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","2","Less than once per month 少於每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Occasionally (20%) 偶爾","3.68","Yes 有","No 沒有","2","0",""
"2021/08/11 10:38:09 PM GMT+8","Male 男性","27","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-3 times a week 每週二至三次","4","Monthly 每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Chinese 中式","Often (60%) 經常","2.7","Yes 有","Yes 有","3","0",""
"2021/08/12 5:34:57 AM GMT+8","Female 女性","20","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","2","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.2","Yes 有","Yes 有","2","0",""
"2021/08/16 10:30:20 AM GMT+8","Male 男性","21","Local student 本地生","Hong Kong","The University of Hong Kong (HKU) 香港大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","1","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會","Italian 義式","Never (0%) 從來不會","3.5","No 沒有","No 沒有","1","3",""
"2021/08/16 2:39:43 PM GMT+8","Male 男性","21","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-3 times a week 每週二至三次","3","Monthly 每月","Whiskey 威士忌","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Occasionally (20%) 偶爾","3.43","Yes 有","No 沒有","0","0",""
"2021/08/17 9:52:50 PM GMT+8","Male 男性","22","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","2","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Chinese 中式","Never (0%) 從來不會","3","Yes 有","Yes 有","0","0",""
"2021/08/18 12:22:21 PM GMT+8","Male 男性","21","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","2","Less than once per month 少於每月","調酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Japanese 日式","Occasionally (20%) 偶爾","3.7","Yes 有","Yes 有","2","0",""
"2021/08/18 11:18:42 PM GMT+8","Female 女性","21","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","1","Never 從來不會","Beer 啤酒","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.4","Yes 有","Yes 有","1","0",""
"2021/08/19 10:51:50 PM GMT+8","Female 女性","20","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","0.7","Never 從來不會","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3","Yes 有","Yes 有","0","0",""
"2021/08/19 10:52:13 PM GMT+8","Male 男性","20","Non-local student 非本地生","India","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","2","Never 從來不會","Beer 啤酒","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.46","Yes 有","Yes 有","0","0",""
"2021/08/19 10:52:40 PM GMT+8","Male 男性","20","Non-local student 非本地生","India","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","2-3 times a week 每週二至三次","3","Monthly 每月","Whiskey 威士忌","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Indian 印度","Never (0%) 從來不會","3.7","Yes 有","Yes 有","8","0",""
"2021/08/19 11:07:50 PM GMT+8","Female 女性","20","Non-local student 非本地生","Burma","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","1 ","Never 從來不會","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Chinese 中式","Never (0%) 從來不會","3.6","Yes 有","Yes 有","4","0",""
"2021/08/24 8:51:03 PM GMT+8","Male 男性","21","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","1","Monthly or less 少於每月","0.5","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Never (0%) 從來不會","3.78","Yes 有","No 沒有","5","0",""
"2021/08/24 8:55:13 PM GMT+8","Male 男性","22","Non-local student 非本地生","Taiwan","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","3","Less than once per month 少於每月","Vodka 伏特加","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Occasionally (20%) 偶爾","3.78","Yes 有","Yes 有","8","1",""
"2021/08/24 10:00:35 PM GMT+8","Male 男性","27","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","2","Never 從來不會","Wine","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Japanese 日式","Occasionally (20%) 偶爾","3.3","Yes 有","No 沒有","0","2.5",""
"2021/08/24 11:13:46 PM GMT+8","Male 男性","23","Non-local student 非本地生","Korea, South","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","2-4 times a month 每月二至四次","1","Never 從來不會","White wine","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Japanese 日式","Never (0%) 從來不會","3.5","No 沒有","No 沒有","0","3",""
"2021/08/25 12:17:53 AM GMT+8","Male 男性","21","Non-local student 非本地生","Taiwan","The Hong Kong Polytechnic University (PolyU) 香港理工大學","Undergraduate student 本科生","4 or above 四年級以上","2-3 times a week 每週二至三次","2","Less than once per month 少於每月","Wine","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Japanese 日式","Sometimes (40%) 有時","3.5","Yes 有","No 沒有","1","0",""
"2021/08/25 6:28:12 PM GMT+8","Male 男性","22","Non-local student 非本地生","Malaysia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-3 times a week 每週二至三次","40","Weekly 每週","Whiskey 威士忌","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Japanese 日式","Never (0%) 從來不會","3.0","No 沒有","No 沒有","0","0",""
"2021/08/27 7:25:53 PM GMT+8","Female 女性","21","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","3.54","Yes 有","Yes 有","5","0",""
"2021/08/27 7:30:35 PM GMT+8","Female 女性","23","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","0.5","Never 從來不會","Beer 啤酒","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Japanese 日式","Never (0%) 從來不會","3.18","Yes 有","Yes 有","0","0",""
"2021/08/27 7:35:26 PM GMT+8","Female 女性","19","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","3.4","No 沒有","No 沒有","0","0",""
"2021/08/27 7:36:07 PM GMT+8","Female 女性","21","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","3.998","No 沒有","No 沒有","20","4",""
"2021/08/27 7:40:51 PM GMT+8","Female 女性","22","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","2","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Occasionally (20%) 偶爾","2.649","No 沒有","No 沒有","0","0",""
"2021/08/27 7:45:28 PM GMT+8","Male 男性","20","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Monthly or less 少於每月","1","Never 從來不會","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Japanese 日式","Occasionally (20%) 偶爾","3.34","Yes 有","Yes 有","0","0",""
"2021/08/27 7:57:49 PM GMT+8","Male 男性","20","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","2-3 times a week 每週二至三次","1.5","Never 從來不會","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Occasionally (20%) 偶爾","3.608","No 沒有","No 沒有","1","0",""
"2021/08/27 8:19:32 PM GMT+8","Female 女性","21","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","1","Never 從來不會","Beer 啤酒","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.6","Yes 有","Yes 有","4","0",""
"2021/08/27 8:29:42 PM GMT+8","Female 女性","18","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","Never 從來不飲用","0.3","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","3.4","Yes 有","No 沒有","0","0",""
"2021/08/27 8:33:40 PM GMT+8","Female 女性","22","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Postgraduate student 研究生","1","2-4 times a month 每月二至四次","5","Monthly 每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.9","Yes 有","Yes 有","14","0",""
"2021/08/27 8:37:05 PM GMT+8","Female 女性","20","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","Monthly or less 少於每月","1","Never 從來不會","香檳","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）","Italian 義式","Never (0%) 從來不會","2.96","No 沒有","No 沒有","0","0",""
"2021/08/27 8:50:57 PM GMT+8","Female 女性","26","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Postgraduate student 研究生","2","2-4 times a month 每月二至四次","2","Never 從來不會","Soju 燒酒","Family gatherings 家庭聚會;Drinking alone 單獨飲酒","Japanese 日式","Occasionally (20%) 偶爾","0","No 沒有","No 沒有","8","1",""
"2021/08/27 9:40:33 PM GMT+8","Male 男性","21","Local student 本地生","China","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Nil","Italian 義式","Never (0%) 從來不會","3.48","Yes 有","Yes 有","2","0",""
"2021/08/27 10:22:09 PM GMT+8","Female 女性","18","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","1","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","0","No 沒有","No 沒有","0","0",""
"2021/08/27 11:35:13 PM GMT+8","Male 男性","27","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","6","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Never (0%) 從來不會","3.591","No 沒有","No 沒有","10","0",""
"2021/08/28 12:20:58 AM GMT+8","Female 女性","19","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","1","2-4 times a month 每月二至四次","1","Never 從來不會","Apple cider","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.4","Yes 有","Yes 有","2","0",""
"2021/08/28 9:40:19 AM GMT+8","Male 男性","22","Local student 本地生","China","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","3","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.42","Yes 有","Yes 有","6","0",""
"2021/08/28 11:28:07 AM GMT+8","Male 男性","22","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Japanese 日式","Never (0%) 從來不會","3.14","No 沒有","No 沒有","2","0",""
"2021/08/28 12:58:21 PM GMT+8","Male 男性","20","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","3.6","No 沒有","No 沒有","4","0",""
"2021/08/28 2:33:19 PM GMT+8","Female 女性","22","Local student 本地生","Hong Kong","The Hong Kong Polytechnic University (PolyU) 香港理工大學","Undergraduate student 本科生","4 or above 四年級以上","2-3 times a week 每週二至三次","6","Weekly 每週","Whiskey 威士忌","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3.5","Yes 有","Yes 有","1","1",""
"2021/08/28 2:57:30 PM GMT+8","Female 女性","19","Local student 本地生","China","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","1","Monthly or less 少於每月","4","Less than once per month 少於每月","Soju 燒酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","0","No 沒有","No 沒有","0","0",""
"2021/08/28 3:03:48 PM GMT+8","Female 女性","28","Local student 本地生","Hong Kong","The Hong Kong Polytechnic University (PolyU) 香港理工大學","Postgraduate student 研究生","4 or above 四年級以上","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","4.0","No 沒有","No 沒有","2","0",""
"2021/08/28 3:09:40 PM GMT+8","Male 男性","19","Local student 本地生","Hong Kong","City University of Hong Kong (CityU) 香港城市大學","Undergraduate student 本科生","2","2-4 times a month 每月二至四次","2","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Occasionally (20%) 偶爾","2.89","Yes 有","No 沒有","0","0",""
"2021/08/28 5:08:39 PM GMT+8","Prefer not to say 不方便透露","23","Local student 本地生","Hong Kong","HSU","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","1","Never 從來不會","Soju 燒酒","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Never (0%) 從來不會","0","No 沒有","No 沒有","0","0",""
"2021/08/28 7:28:21 PM GMT+8","Male 男性","17","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","1","2-4 times a month 每月二至四次","10","Monthly 每月","Beer 啤酒","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Occasionally (20%) 偶爾","0 ","No 沒有","No 沒有","0","0",""
"2021/08/28 11:49:38 PM GMT+8","Female 女性","19","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","Monthly or less 少於每月","1","Never 從來不會","Beer 啤酒","Drinking alone 單獨飲酒","Italian 義式","Never (0%) 從來不會","3.5","Yes 有","Yes 有","0","0",""
"2021/08/29 1:33:32 AM GMT+8","Female 女性","20","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","2-4 times a month 每月二至四次","1","Never 從來不會","果酒","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;做paper","Italian 義式","Usually (80%) 通常","3.5","Yes 有","Yes 有","2","0",""
"2021/08/29 7:31:58 AM GMT+8","Female 女性","21","Local student 本地生","Hong Kong","Hong Kong Baptist University (HKBU) 香港浸會大學","Undergraduate student 本科生","2","Monthly or less 少於每月","5","Monthly 每月","Beer 啤酒","Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會","Chinese 中式","Never (0%) 從來不會","3.87","No 沒有","Yes 有","2","0",""
"2021/08/29 7:05:58 PM GMT+8","Female 女性","24","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","2","Less than once per month 少於每月","Spirits 烈酒","Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Often (60%) 經常","3.555","No 沒有","No 沒有","1","0",""
"2021/08/30 11:16:34 AM GMT+8","Male 男性","24","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Postgraduate student 研究生","1","2-4 times a month 每月二至四次","1","Less than once per month 少於每月","Spirits 烈酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Japanese 日式","Never (0%) 從來不會","0","No 沒有","No 沒有","5","0",""
"2021/08/30 4:18:48 PM GMT+8","Female 女性","21","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Monthly or less 少於每月","0.5","Never 從來不會","Beer 啤酒","Family gatherings 家庭聚會","Italian 義式","Never (0%) 從來不會","3.2","Yes 有","No 沒有","4","2",""
"2021/08/30 8:22:47 PM GMT+8","Female 女性","19","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","2-4 times a month 每月二至四次","2","Never 從來不會","Beer 啤酒","Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Occasionally (20%) 偶爾","3.1","Yes 有","No 沒有","0","0",""
"2021/08/31 2:37:03 AM GMT+8","Male 男性","22","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","2-4 times a month 每月二至四次","12","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒","Italian 義式","Sometimes (40%) 有時","3.12","Yes 有","Yes 有","0","0",""
"2021/08/31 11:15:46 AM GMT+8","Female 女性","20","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","4 or above 四年級以上","Never 從來不飲用","0","Never 從來不會","I don't consume alcoholic beverage 我不飲用含酒精的飲料","I don't consume alcoholic beverage 我不飲用含酒精的飲料","Italian 義式","Never (0%) 從來不會","0","No 沒有","No 沒有","0","2",""
"2021/09/08 4:24:42 PM GMT+8","Female 女性","19","Non-local student 非本地生","Indonesia","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","2","Monthly or less 少於每月","7","Less than once per month 少於每月","Beer 啤酒","Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","3","Yes 有","Yes 有","0","0",""
"2021/09/13 10:05:27 PM GMT+8","Female 女性","20","Local student 本地生","Hong Kong","The Chinese University of Hong Kong (CUHK) 香港中文大學","Undergraduate student 本科生","3","2-4 times a month 每月二至四次","2","Less than once per month 少於每月","anything屌飲一波","Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）","Italian 義式","Never (0%) 從來不會","0.1","Yes 有","Yes 有","1","0",""
